keys,en,zh_CN,ja,ko,pt_BR,es,ru
"Commissions Completed: %d","Commissions Completed: %d",完成的委托: %d,完了したコミッション: %d,완료된 의뢰: %d,"Comissões Concluídas: %d","Comisiones Completadas: %d","Заказов выполнено: %d"
SELECT A COMMISSION,SELECT A COMMISSION,选择委托,コミッションを選択,의뢰 선택,SELECIONAR UMA COMISSÃO,SELECCIONAR UNA COMISIÓN,ВЫБРАТЬ ЗАКАЗ
View Results,View Results,查看结果,結果を見る,결과 보기,Ver Resultados,Ver Resultados,Посмотреть результаты
Start Mission,Start Mission,开始任务,ミッション開始,미션 시작,Iniciar Missão,Iniciar Misión,Начать задание
Abort Mission,Abort Mission,中止任务,ミッション中止,미션 중단,Cancelar Missão,Cancelar Misión,Отменить задание
Latest Attempt,Latest Attempt,最近尝试,最新の試行,최근 시도,Última Tentativa,Último Intento,Последняя попытка
Your Painting,Your Painting,你的画作,あなたの絵,내 그림,Sua Pintura,Tu Pintura,Ваша картина
Target,Target,目标,ターゲット,목표,Alvo,Objetivo,Цель
Pixel Matching Analysis,Pixel Matching Analysis,像素匹配分析,ピクセルマッチング分析,픽셀 매칭 분석,Análise de Correspondência de Pixels,Análisis de Coincidencia de Píxeles,Анализ совпадения пикселей
"Green = Matched | Red = Mismatched","Green = Matched | Red = Mismatched",绿色=匹配 | 红色=不匹配,緑=一致 | 赤=不一致,녹색=일치 | 빨간=불일치,"Verde = Correspondeu | Vermelho = Não Correspondeu","Verde = Coincide | Rojo = No Coincide","Зелёный = совпадение | Красный = несовпадение"
Retry,Retry,重试,リトライ,다시 시도,Tentar Novamente,Reintentar,Повторить
YOUR PAINTINGS,YOUR PAINTINGS,你的画作,あなたの绘画,내 그림,SUAS PINTURAS,TUS PINTURAS,ВАШИ КАРТИНЫ
Name:,Name:,名称:,名前:,이름:,Nome:,Nombre:,Название:
Artist Statement:,Artist Statement:,艺术声明:,アーティストステートメント:,작가 노트:,Declaração do Artista:,Declaración del Artista:,Заявление художника:
Enter painting name...,Enter painting name...,输入画作名称...,絵のタイトルを入力...,그림 이름 입력...,Digite o nome da pintura...,Ingresa el nombre de la pintura...,Введите название картины...
Write about your painting...,Write about your painting...,写下你的画作...,絵について書いてください...,그림에 대해 쓰기...,Escreva sobre sua pintura...,Escribe sobre tu pintura...,Напишите о своей картине...
Social Status,Social Status,社交状态,ソーシャルステータス,소셜 현황,Status Social,Estado Social,Социальный статус
Critique:,Critique:,评论:,批評:,비평:,Crítica:,Crítica:,Критика:
Save,Save,保存,保存,저장,Salvar,Guardar,Сохранить
There are no paintings in your Inventory. Pressing the red button in the studio will add a painting to your Inventory.,There are no paintings in your Inventory. Pressing the red button in the studio will add a painting to your Inventory.,你的库存中没有画作。按下工作室中的红色按钮将画作添加到库存。,インベントリに絵がありません。スタジオの赤いボタンを押すと絵がインベントリに追加されます。,인벤토리에 그림이 없습니다. 스튜디오의 빨간 버튼을 누르면 그림이 인벤토리에 추가됩니다.,Não há pinturas no seu Inventário. Pressionar o botão vermelho no estúdio adicionará uma pintura ao seu Inventário.,No hay pinturas en tu Inventario. Presionar el botón rojo en el estudio añadirá una pintura a tu Inventario.,В вашем инвентаре нет картин. Нажмите красную кнопку в студии — она добавит картину в инвентарь.
OPTIONS,OPTIONS,选项,オプション,옵션,OPÇÕES,OPCIONES,НАСТРОЙКИ
Game,Game,游戏,ゲーム,게임,Jogo,Juego,Игра
Save GLB to downloads folder,Save GLB to downloads folder,将 GLB 保存到下载文件夹,GLB をダウンロードフォルダに保存,GLB를 다운로드 폴더에 저장,Salvar GLB na pasta de downloads,Guardar GLB en la carpeta de descargas,Сохранять GLB в папку загрузок
Save PNG to downloads folder,Save PNG to downloads folder,将 PNG 保存到下载文件夹,PNG をダウンロードフォルダに保存,PNG를 다운로드 폴더에 저장,Salvar PNG na pasta de downloads,Guardar PNG en la carpeta de descargas,Сохранять PNG в папку загрузок
Generate Elevator Critique,Generate Elevator Critique,生成电梯评价,エレベーター批評を生成,엘리베이터 비평 생성,Gerar Crítica de Elevador,Generar Crítica de Elevador,Генерировать критику в лифте
Publish painting online,Publish painting online,在线发布画作,絵をオンラインで公開,그림을 온라인으로 게시,Publicar pintura online,Publicar pintura en línea,Публиковать картину онлайн
Nail Gun,Nail Gun,钉枪,ネイルガン,네일건,Pistola de Pregos,Pistola de Clavos,Гвоздезабивной пистолет
Water Filter,Water Filter,滤水器,ウォーターフィルター,정수기,Filtro de Água,Filtro de Agua,Фильтр для воды
Monstera Plant,Monstera Plant,龟背竹,モンステラ,몬스테라,Planta Monstera,Planta Monstera,Растение монстера
Fern Plant,Fern Plant,蕨类植物,シダ植物,고사리,Samambaia,Helecho,Папоротник
Madagascar Palm,Madagascar Palm,马达加斯加棕榈,マダガスカルパーム,마다가스카르 팜,Palmeira de Madagáscar,Palma de Madagascar,Мадагаскарская пальма
Arcade Game,Arcade Game,街机游戏,アーケードゲーム,아케이드 게임,Jogo de Arcade,Juego de Arcade,Аркадная игра
Tornado Game,Tornado Game,龙卷风游戏,トルネードゲーム,토네이도 게임,Jogo do Tornado,Juego del Tornado,Игра Торнадо
Coin Pusher,Coin Pusher,推币机,コインプッシャー,코인 푸셔,Empurrador de Moedas,Empujador de Monedas,Толкатель монет
Coin Pusher Machine,Coin Pusher Machine,推币机,コインプッシャーマシン,코인 푸셔 머신,Máquina Empurradora de Moedas,Máquina Empujadora de Monedas,Аппарат-толкатель монет
"SHOP_DESC_COIN_PUSHER","The hypnogogic jackpot right in your living room. relax and enjoy the cascade of pure physics magic!","就在你客厅里的催眠大奖。放松身心，享受纯粹物理魔法的连锁奇迹！","あなたのリビングルームにある睡眠誘導ジャックポット。リラックスして、純粋な物理の魔法のカスケードをお楽しみください！","당신의 거실에 있는 최면적 잭팟. 편안하게 순수한 물리학 마법의 캐스케이드를 즐기세요!","O jackpot hipnagógico bem na sua sala. Relaxe e aproveite a cascata de pura magia da física!","¡El jackpot hipnagógico en tu propio salón. Relájate y disfruta de la cascada de pura magia física!","Гипнагогический джекпот прямо в твоей гостиной. Расслабься и наслаждайся каскадом чистой физической магии!"
SEG,SEG,SEG,SEG,SEG,SEG,SEG,SEG
GEET Engine,GEET Engine,GEET 发动机,GEETエンジン,GEET 엔진,Motor GEET,Motor GEET,GEET двигатель
Water Fuel Cell,Water Fuel Cell,水燃料电池,ウォーターフューエルセル,수연료 전지,Célula de Combustível de Água,Celda de Combustible de Agua,Водотопливный элемент
Gallery Visitor,Gallery Visitor,画廊访客,ギャラリー来訪者,갤러리 방문자,Visitante da Galeria,Visitante de la Galería,Посетитель галереи
Custom Sticker Modder,Custom Sticker Modder,自定义贴纸修改器,カスタムステッカーモッダー,커스텀 스티커 모더,Modificador de Adesivos,Modificador de Stickers,Кастомный стикер-модер
SHOP_DESC_NAIL_GUN,Hang your paintings on the wall. An essential tool for viewing your artwork in a gallery setting.,将画作挂在墙上。在画廊环境中展示作品的必备工具。,壁に絵を掛けるための必須ツール。ギャラリーでの作品鑑賞に欠かせない。,그림을 벽에 걸어두는 도구. 갤러리 환경에서 작품을 감상하는 데 필수적입니다.,Pendure suas pinturas na parede. Uma ferramenta essencial para exibir sua arte em um ambiente de galeria.,Cuelga tus pinturas en la pared. Una herramienta esencial para exhibir tu arte en un ambiente de galería.,Вешайте картины на стену. Незаменимый инструмент для демонстрации работ в галерейном формате.
SHOP_DESC_TRASH_CAN,A studio staple. Every artist needs somewhere to put their mistakes.,工作室必备。每位艺术家都需要一个放置失误之作的地方。,アトリエの定番。ミスを捨てる場所はどんなアーティストにも必要です。,작업실의 필수품. 모든 예술가에겐 실수를 버릴 곳이 필요합니다.,Essencial em qualquer estúdio. Todo artista precisa de um lugar para depositar seus erros.,Un básico del estudio. Todo artista necesita un lugar donde poner sus errores.,Неотъемлемая часть студии. Каждому художнику нужно место для своих ошибок.
SHOP_DESC_FAN,Keeps the studio cool while you work. Comes with a power cord.,在创作时保持工作室凉爽。附带电源线。,作業中もアトリエを快適に保ちます。電源コード付き。,작업 중 작업실을 시원하게 유지합니다. 전원 코드 포함.,Mantém o estúdio fresco enquanto você trabalha. Acompanha cabo de energia.,Mantiene el estudio fresco mientras trabajas. Incluye cable de corriente.,Поддерживает прохладу в студии во время работы. В комплекте кабель питания.
"SHOP_DESC_STYROFOAM_CUBE","Great for breaking up physical space inside the studio. Surprisingly useful as a pedestal.",非常适合分割工作室内部空间。作为基座出奇地好用。,アトリエの空間を上手く仕切るのに最適。台座としても意外と便利です。,작업실 내부 공간을 나누는 데 좋습니다. 받침대로도 의외로 유용합니다.,"Ótimo para dividir o espaço físico do estúdio. Surpreendentemente útil como pedestal.","Ideal para dividir el espacio físico del estudio. Sorprendentemente útil como pedestal.","Отлично подходит для зонирования пространства студии. Неожиданно удобен как постамент."
SHOP_DESC_CARDBOARD_BOX,A mysterious cardboard box. Something useful might be inside.,一个神秘的纸板箱。里面可能有些有用的东西。,謎めいた段ボール箱。中に何か役立つものが入っているかもしれません。,신비로운 골판지 상자. 안에 뭔가 유용한 것이 있을지도 모릅니다.,Uma misteriosa caixa de papelão. Talvez haja algo útil lá dentro.,Una misteriosa caja de cartón. Quizás haya algo útil dentro.,Загадочная картонная коробка. Внутри может оказаться что-то полезное.
"SHOP_DESC_WATER_FILTER","Clean water for a clear mind. A sleek plastic tower that filters water through gravity and two metal cylinders — no electricity required. Perfect for off-grid living or anyone who prefers their water filtered with a side of apocalypse readiness.","清洁的水，清晰的思维。一个优雅的塑料过滤器，通过重力和两个金属筒净水，无需电力。非常适合离网生活或喜欢末日准备风格的人。",クリアな水でクリアな思考を。重力と2本の金属筒で浄水するシンプルな装置。電源不要。オフグリッドな生活や備蓄好きに最適。,맑은 물로 맑은 정신을. 전기 없이 중력과 두 개의 금속 실린더로 물을 정화하는 세련된 장치. 오프그리드 생활이나 묵시록 대비에 안성맞춤.,"Água limpa para uma mente limpa. Uma elegante torre de plástico que filtra a água pela gravidade e dois cilindros metálicos — sem necessidade de eletricidade. Ideal para vida off-grid ou para quem prefere a água filtrada com um toque de preparação para o apocalipse.","Agua limpa para una mente clara. Una elegante torre de plástico que filtra el agua por gravedad y dos cilindros metálicos — sin necesidad de electricidad. Perfecta para vivir fuera de la red o para quien prefiere el agua filtrada con un toque de preparación apocalíptica.","Чистая вода для ясного ума. Изящный пластиковый фильтр, очищающий воду гравитацией и двумя металлическими цилиндрами — без электричества. Идеален для жизни вне сети или для тех, кто любит фильтрованную воду с привкусом готовности к апокалипсису."
SHOP_DESC_PHONE,A smartphone with a mysterious website loaded onto its home screen.,一部智能手机，主屏幕上加载着一个神秘的网站。,ホーム画面に謎のウェブサイトが開いたスマートフォン。,홈 화면에 의문의 웹사이트가 열려 있는 스마트폰.,Um smartphone com um site misterioso carregado na tela inicial.,Un smartphone con un misterioso sitio web cargado en su pantalla de inicio.,Смартфон с загадочным сайтом на главном экране.
"SHOP_DESC_MIRROR","For checking yourself out between sessions. Perfect for viewing your work through a different lens.",适合在创作间隙欣赏自己。通过不同的视角审视你的作品的完美工具。,セッションの合間に自分を確認するのに最適。作品を新しい視点で見るのにもぴったり。,작업 사이에 자신을 돌아보는 데 좋습니다. 작품을 다른 시각으로 바라보기에도 완벽합니다.,"Para se olhar entre as sessões. Perfeito para ver seu trabalho por um ângulo diferente.","Para mirarte entre sesiones. Perfecto para ver tu trabajo desde otro ángulo.","Чтобы полюбоваться собой между сессиями. Идеально для взгляда на работу под другим углом."
"SHOP_DESC_SKATEBOARD","A brand-new board leaning against the wall. Old habits.",一块全新的板，靠在墙上。旧习难改。,壁に立てかけられた新品のボード。古い習慣はなかなか抜けないもの。,벽에 기댄 새 보드. 오랜 습관은 쉽게 사라지지 않습니다.,"Uma prancha novinha encostada na parede. Velhos hábitos não se perdem.","Una tabla nueva apoyada contra la pared. Los viejos hábitos no se pierden.","Новенькая доска, прислонённая к стене. Старые привычки не умирают."
"SHOP_DESC_MONSTERA","Big leafy vibes. Every studio needs one.",大叶片的氛围感。每个工作室都需要一株。,大きな葉っぱのバイブス。どんなアトリエにも1本は必要です。,큰 잎사귀의 분위기. 모든 작업실에는 하나씩 있어야 합니다.,"Vibe de folhagem exuberante. Todo estúdio precisa de uma.","Vibras de follaje exuberante. Todo estudio necesita una.","Атмосфера пышной зелени. В каждой студии должна быть одна."
"SHOP_DESC_FERN_PLANT","Delicate, unfurling fiddleheads. A little prehistoric energy for the studio.",纤细、展开的嫩芽。为工作室带来一点史前能量。,繊細に広がるゼンマイ。アトリエに少し先史時代のエネルギーを添えて。,섬세하게 펼쳐지는 고사리 잎. 작업실에 약간의 선사시대 에너지를.,"Brotos delicados se desdobrando. Uma pitada de energia pré-histórica para o estúdio.","Delicados brotes desplegándose. Un poco de energía prehistórica para el estudio.","Нежные разворачивающиеся вайи. Немного доисторической энергии для студии."
"SHOP_DESC_MADPALM","Spiky, drought-tolerant, and technically a succulent. The Madagascar Palm doesn't care what you call it.",尖刺、耐旱，严格来说是多肉植物。马达加斯加棕榈才不在乎你怎么叫它。,トゲトゲで乾燥に強く、技術的にはサボテン科。マダガスカルパームはそんな分類を気にしません。,가시투성이에 건조에 강하고 엄밀히 말하면 다육식물. 마다가스카르 팜은 뭐라 불리든 신경 쓰지 않습니다.,"Espinhosa, resistente à seca e tecnicamente uma suculenta. A Palmeira-de-Madagáscar não se importa com o que você a chama.","Espinosa, resistente a la sequía y técnicamente una suculenta. La Palma de Madagascar no se preocupa por cómo la llames.","Колючая, засухоустойчивая и технически суккулент. Мадагаскарской пальме всё равно, как её называют."
"SHOP_DESC_PSYWHEEL","A homemade meditation device made from an eraser, a toothpick, and a folded piece of paper. Used to practice telekinesis. When it's spinning, you know you are onto something.",一个由橡皮擦、牙签和折叠纸片制成的自制冥想装置。用于练习心灵感应。当它旋转时，你知道你找到了什么。,消しゴム・爪楊枝・折り紙で作られた自作の瞑想装置。念動力の練習に使います。回り始めたら、何かを掴んでいる証拠。,"지우개와 이쑤시개, 접힌 종이로 만든 수제 명상 도구. 염력 연습에 사용합니다. 돌기 시작하면 뭔가 되고 있다는 신호.","Um dispositivo de meditação caseiro feito com uma borracha, um palito de dente e um pedaço de papel dobrado. Usado para praticar telecinesia. Quando começa a girar, você sabe que está chegando em algum lugar.","Un dispositivo de meditación casero hecho con una goma de borrar, un palillo y un trozo de papel doblado. Usado para practicar telequinesis. Cuando gira, sabes que estás llegando a algo.","Самодельное медитативное устройство из ластика, зубочистки и сложенного листа бумаги. Используется для тренировки телекинеза. Когда оно вращается — значит вы на правильном пути."
"SHOP_DESC_CYCLONE","A spinning circle of false hope and questionable reflexes. Perfect for testing hand–eye coordination, patience, and your ability to blame the machine instead of yourself.",充满虚假希望和可疑反应的旋转圆圈。非常适合测试手眼协调、耐心以及你将责任归咎于机器的能力。,偽りの期待と怪しい反射神経を試す回転サークル。手と目の協調性、忍耐力、そして機械のせいにする能力を鍛えるのに最適。,"헛된 희망과 의심스러운 반사신경의 회전 원. 눈과 손의 협응력, 인내심, 그리고 기계 탓을 하는 능력을 시험하기에 완벽합니다.","Um círculo giratório de falsas esperanças e reflexos questionáveis. Perfeito para testar coordenação olho-mão, paciência e sua habilidade de culpar a máquina em vez de si mesmo.","Un círculo giratorio de falsas esperanzas y reflejos cuestionables. Perfecto para probar la coordinación mano-ojo, la paciencia y tu habilidad de culpar a la máquina en lugar de a ti mismo.","Вращающийся круг ложных надежд и сомнительной реакции. Идеально для проверки координации рук и глаз, терпения и умения винить машину вместо себя."
"SHOP_DESC_SEG","A legendary rotating assembly of magnetized rollers said to unlock the Searl Effect — a self-sustaining electromagnetic state theorized to produce free energy, reduce gravity, and generate dramatic sci-fi ambiance. Whether a revolutionary breakthrough or an extremely sophisticated conversation piece, it transforms any space into a cutting-edge research facility.",一台传说中由磁化滚轮组成的旋转装置，据称能解锁"谢尔效应"——一种据理论能产生自由能量、减轻重力并营造惊人科幻氛围的自持电磁状态。无论是革命性突破还是极其精妙的装饰品，它都能将任何空间变成前沿研究设施。,磁化されたローラーが回転し「サール効果」を起こすとされる伝説の装置。フリーエネルギー・反重力・SF的発光など、様々な現象を起こすと理論化されています。革命的なブレイクスルーか洗練された会話の種か、どちらにせよ空間を最先端研究施設に変えます。,"자화된 롤러가 회전하며 '설 효과'를 일으킨다는 전설의 장치. 자유 에너지, 중력 감소, SF 분위기 등을 이론적으로 유발한다고 합니다. 혁신적인 돌파구인지 세련된 대화 소재인지 몰라도, 어떤 공간이든 첨단 연구 시설로 변모시킵니다.","Um lendário conjunto giratório de rolos magnetizados que supostamente desbloqueia o Efeito Searl — um estado eletromagnético autossustentável teorizado para produzir energia livre, reduzir a gravidade e gerar um clima dramático de ficção científica. Seja um avanço revolucionário ou uma sofisticadíssima peça de conversação, transforma qualquer espaço em uma instalação de pesquisa de ponta.","Un legendario conjunto giratorio de rodillos magnetizados que supuestamente desbloquea el Efecto Searl — un estado electromagnético autosuficiente teorizado para producir energía libre, reducir la gravedad y generar un dramático ambiente de ciencia ficción. Ya sea un avance revolucionario o una sofisticadísima pieza de conversación, transforma cualquier espacio en una instalación de investigación de vanguardia.","Легендарный вращающийся узел из намагниченных роликов, якобы запускающий Эффект Сёрла — самоподдерживающееся электромагнитное состояние, теоретически производящее свободную энергию, снижающее гравитацию и создающее атмосферу научной фантастики. Революционный прорыв или изощрённый предмет для разговора — в любом случае превращает любое пространство в передовую исследовательскую лабораторию."
"SHOP_DESC_GEET","The GEET Plasma Reactor routes exhaust heat back through incoming fuel vapor, causing an anomalous low-temperature plasma transition inside a vacuum chamber. Independent tests recorded near-zero emissions running on diesel, vegetable oil, and reportedly water. Its inventor, Paul Pantone, was institutionalized in Utah after refusing to sell his patents to industry interests. He was released four years later. His US patent 5,794,601 sits quietly in the public record.","GEET等离子反应堆将废气热量回流到燃料蒸气中，在真空腔室内产生异常的低温等离子体转变。独立测试记录到以柴油、植物油甚至据报道以水为燃料时近零排放。发明者保罗·潘通因拒绝将专利出售给行业利益而被关入犹他州精神病院，四年后获释。他的美国专利5,794,601静静躺在公开记录中。","GEETプラズマリアクターは排気熱を燃料蒸気に還流させ、真空チャンバー内で低温プラズマ転移を引き起こします。ディーゼル・植物油・水で動かした際ほぼゼロ排出が独立試験で確認されました。発明者のポール・パントンは特許の売却を拒否した後ユタ州の精神病院に収容され、4年後に釈放されました。米国特許5,794,601は公開記録の中に静かに眠っています。","GEET 플라즈마 반응로는 배기열을 연료 증기로 되돌려 진공 챔버 안에서 저온 플라즈마 전이를 일으킵니다. 디젤, 식물성 기름, 심지어 물로 작동할 때도 거의 무배출을 기록했습니다. 발명자 폴 팬톤은 특허 판매를 거부한 뒤 유타 주립 정신병원에 수용되었다가 4년 후 석방됐습니다. 미국 특허 5,794,601은 공개 기록 속에 조용히 남아 있습니다.","O Reator de Plasma GEET recircula o calor dos gases de escape de volta ao vapor de combustível, causando uma transição anômala de plasma de baixa temperatura dentro de uma câmara de vácuo. Testes independentes registraram emissões quase zero com diesel, óleo vegetal e, supostamente, água. Seu inventor, Paul Pantone, foi internado em Utah após recusar-se a vender suas patentes a interesses industriais. Foi libertado quatro anos depois. Sua patente americana 5.794.601 permanece quieta no registro público.","El Reactor de Plasma GEET recircula el calor de los gases de escape de vuelta al vapor de combustible, provocando una transición anómala de plasma de baja temperatura dentro de una cámara de vacío. Pruebas independientes registraron emisiones casi nulas con diésel, aceite vegetal y, supuestamente, agua. Su inventor, Paul Pantone, fue internado en Utah tras negarse a vender sus patentes a intereses industriales. Fue liberado cuatro años después. Su patente americana 5.794.601 permanece callada en el registro público.","GEET плазменный реактор направляет тепло выхлопных газов обратно через входящие пары топлива, вызывая аномальный низкотемпературный плазменный переход в вакуумной камере. Независимые испытания зафиксировали почти нулевые выбросы при работе на дизеле, растительном масле и якобы воде. Его изобретатель, Пол Пантон, был помещён в психиатрическую больницу Юты после отказа продать патенты промышленным структурам. Он вышел на свободу четыре года спустя. Его патент США 5 794 601 тихо хранится в открытых архивах."
"SHOP_DESC_WFC","Inspired by Stanley Meyer's water fuel cell: a device said to dissociate water into hydrogen and oxygen through precisely tuned high-voltage, low-current pulses — resonance, not raw amperage. Meyer collapsed from a sudden brain aneurysm shortly after refusing to sell his patents for military use. He claimed the visions for his invention came to him from angels, in the moments between sleep and wakefulness.",灵感来自斯坦利·迈耶的水燃料电池：一种据说通过精确调谐的高压低电流脉冲——而非暴力电解——将水分解为氢气和氧气的装置。迈耶在拒绝出售其军用专利后不久因突发脑动脉瘤猝倒身亡。他声称发明的灵感来自天使，在睡眠与清醒之间的片刻。,スタンレー・メイヤーのウォーターフューエルセルに着想を得た装置：高電圧・低電流の精密なパルスで水を水素と酸素に分解できるとされています。メイヤーは軍事用途での特許売却を拒否した直後に脳動脈瘤で急逝しました。彼は発明のビジョンを天使から夢うつつの間に授かったと語っていました。,"스탠리 마이어의 수연료 전지에서 영감을 받은 장치: 높은 전압, 낮은 전류의 정밀 펄스로 물을 수소와 산소로 분해할 수 있다고 합니다. 마이어는 군사 목적의 특허 판매를 거부한 직후 뇌동맥류로 쓰러졌습니다. 그는 수면과 각성 사이의 순간에 천사들로부터 발명의 비전을 받았다고 말했습니다.","Inspirado na célula de combustível de água de Stanley Meyer: um dispositivo que supostamente dissocia a água em hidrogênio e oxigênio por meio de pulsos de alta tensão e baixa corrente precisamente calibrados — ressonância, não amperagem bruta. Meyer sofreu um aneurisma cerebral repentino logo após recusar-se a vender suas patentes para uso militar. Ele dizia que as visões de sua invenção vinham de anjos, nos momentos entre o sono e a vigília.","Inspirado en la celda de combustible de agua de Stanley Meyer: un dispositivo que supuestamente disocia el agua en hidrógeno y oxígeno mediante pulsos de alta tensión y baja corriente precisamente calibrados — resonancia, no amperaje bruto. Meyer sufrió un aneurisma cerebral repentino poco después de negarse a vender sus patentes para uso militar. Afirmaba que las visiones de su invención le llegaban de ángeles, en los momentos entre el sueño y la vigilia.","Вдохновлён водотопливным элементом Стэнли Мейера: устройство, якобы расщепляющее воду на водород и кислород с помощью точно настроенных высоковольтных импульсов малой силы тока — резонансом, а не грубым амперажем. Мейер скончался от внезапной аневризмы мозга вскоре после отказа продать патенты для военного применения. Он утверждал, что образы своего изобретения видел от ангелов в моменты между сном и бодрствованием."
"SHOP_DESC_GALLERY_VISITOR","Invites another visitor to your gallery. Each visitor increases the sale value of your shipped paintings. The more eyes on your work, the more it's worth.",邀请另一位访客来到你的画廊。每位访客都会提升你发货画作的售价。关注你作品的人越多，它就越有价值。,ギャラリーに新しい来訪者を招待します。来訪者が増えるほど、出荷した絵画の売値も上がります。多くの目に触れるほど、作品の価値は高まります。,갤러리에 방문자를 한 명 더 초대합니다. 방문자가 늘수록 배송한 그림의 판매 가치가 높아집니다. 더 많은 시선을 받을수록 작품의 가치도 올라갑니다.,"Convida mais um visitante para sua galeria. Cada visitante aumenta o valor de venda das suas pinturas enviadas. Quanto mais olhos no seu trabalho, maior seu valor.","Invita a otro visitante a tu galería. Cada visitante aumenta el valor de venta de tus pinturas enviadas. Cuantos más ojos vean tu trabajo, más valdrá.","Приглашает ещё одного посетителя в вашу галерею. Каждый посетитель повышает стоимость отправленных картин. Чем больше взглядов на вашу работу, тем она ценнее."
SHOP_DESC_CUSTOM_STICKER,Modify Studio Sim by adding your own custom motifs to the painting UI array.,通过将自己的自定义图案添加到绘画 UI 阵列来修改 Studio Sim。,絵のUIアレイに自分だけのカスタムモチーフを追加してStudio Simを改造しましょう。,그림 UI 배열에 나만의 커스텀 모티프를 추가해 Studio Sim을 수정합니다.,Personalize o Studio Sim adicionando seus próprios motivos à matriz de UI de pinturas.,Personaliza Studio Sim añadiendo tus propios motivos a la matriz de UI de pinturas.,Измените Studio Sim, добавив собственные мотивы в массив интерфейса рисования.
